"ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME",
"01A","Afognak Lake, AK","A43","Kodiak Island, AK",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"06A","Kizhuyak, AK","A43","Kodiak Island, AK",
"09A","Homer, AK","OLH","Old Harbor, AK",
"09A","Homer, AK","ORI","Port Lions, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"09A","Homer, AK","ADQ","Kodiak, AK",
"1G4","Peach Springs, AZ","BLD","Boulder City, NV",
"7AK","Akun, AK","KQA","Akutan, AK",
"7AK","Akun, AK","KQA","Akutan, AK",
"7AK","Akun, AK","CDB","Cold Bay, AK",
"7AK","Akun, AK","AKN","King Salmon, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"7AK","Akun, AK","DUT","Unalaska, AK",
"A04","Red Lake, AK","KKL","Karluk Lake, AK",
"A04","Red Lake, AK","A43","Kodiak Island, AK",
"A04","Red Lake, AK","A43","Kodiak Island, AK",
"A1K","Deadhorse1, AK","SCC","Deadhorse, AK",
"A1K","Deadhorse1, AK","A1K","Deadhorse1, AK",
"A20","Alpine, AK","SCC","Deadhorse, AK",
"A20","Alpine, AK","ANC","Anchorage, AK",
"A27","Pogo Mines, AK","FAI","Fairbanks, AK",
"A29","Kiluda Bay, AK","A43","Kodiak Island, AK",
"A29","Kiluda Bay, AK","A43","Kodiak Island, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","KKB","Kitoi Bay, AK",
"A43","Kodiak Island, AK","KOY","Olga Bay, AK",
"A43","Kodiak Island, AK","KPY","Port Bailey, AK",
"A43","Kodiak Island, AK","KWP","West Point, AK",
"A43","Kodiak Island, AK","A43","Kodiak Island, AK",
"A43","Kodiak Island, AK","KKL","Karluk Lake, AK",
"A43","Kodiak Island, AK","06A","Kizhuyak, AK",
"A43","Kodiak Island, AK","A04","Red Lake, AK",
"A43","Kodiak Island, AK","A29","Kiluda Bay, AK",
"A43","Kodiak Island, AK","A70","Village Islands, AK",
"A43","Kodiak Island, AK","A87","Carry Inlet, AK",
"A43","Kodiak Island, AK","AOS","Amook Bay, AK",
"A43","Kodiak Island, AK","DGB","Danger Bay, AK",
